[DEBUG] 2023-10-27 21:43:38.411 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2023-10-27 21:43:38.413 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2023-10-27 21:43:38.417 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2023-10-27 21:43:38.491 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2023-10-27 21:43:38.492 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2023-10-27 21:43:38.680 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2023-10-27 21:43:38.681 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2023-10-27 21:43:38.686 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2023-10-27 21:43:38.910 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2023-10-27 21:43:38.931 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2023-10-27 21:43:38.932 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2023-10-27 21:43:38.952 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2023-10-27 21:43:39.042 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3b152928
[DEBUG] 2023-10-27 21:43:39.042 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3b152928
[DEBUG] 2023-10-27 21:43:39.042 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3b152928
[DEBUG] 2023-10-27 21:43:39.043 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@378bd86d
[DEBUG] 2023-10-27 21:43:39.043 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@a10c1b5
[DEBUG] 2023-10-27 21:43:39.044 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7c2327fa
[DEBUG] 2023-10-27 21:43:39.045 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@726a6b94
[DEBUG] 2023-10-27 21:43:39.045 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@726a6b94
[DEBUG] 2023-10-27 21:43:39.045 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@726a6b94
[DEBUG] 2023-10-27 21:43:39.046 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@63429932
[DEBUG] 2023-10-27 21:43:39.046 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@63429932
[DEBUG] 2023-10-27 21:43:39.046 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@63429932
[DEBUG] 2023-10-27 21:43:39.047 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@61533ae
[DEBUG] 2023-10-27 21:43:39.047 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@61533ae
[DEBUG] 2023-10-27 21:43:39.047 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@61533ae
[DEBUG] 2023-10-27 21:43:39.048 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5395ea39
[DEBUG] 2023-10-27 21:43:39.048 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5395ea39
[DEBUG] 2023-10-27 21:43:39.048 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5395ea39
[DEBUG] 2023-10-27 21:43:39.049 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@15723761
[DEBUG] 2023-10-27 21:43:39.049 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@15723761
[DEBUG] 2023-10-27 21:43:39.049 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@15723761
[DEBUG] 2023-10-27 21:43:39.050 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@710d7aff
[DEBUG] 2023-10-27 21:43:39.050 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@710d7aff
[DEBUG] 2023-10-27 21:43:39.050 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@710d7aff
[DEBUG] 2023-10-27 21:43:39.051 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@36bc415e
[DEBUG] 2023-10-27 21:43:39.051 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@36bc415e
[DEBUG] 2023-10-27 21:43:39.051 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@36bc415e
[DEBUG] 2023-10-27 21:43:39.052 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@4ebadd3d
[DEBUG] 2023-10-27 21:43:39.052 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@4ebadd3d
[DEBUG] 2023-10-27 21:43:39.053 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4a699efa
[DEBUG] 2023-10-27 21:43:39.053 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4a699efa
[DEBUG] 2023-10-27 21:43:39.054 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@66434cc8
[DEBUG] 2023-10-27 21:43:39.054 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@66434cc8
[DEBUG] 2023-10-27 21:43:39.054 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5432050b
[DEBUG] 2023-10-27 21:43:39.055 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@29182679
[DEBUG] 2023-10-27 21:43:39.055 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@682c1e93
[DEBUG] 2023-10-27 21:43:39.055 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@682c1e93
[DEBUG] 2023-10-27 21:43:39.056 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@715fb77
